在籍日数,対象日,ID,入社日,会社,部署,パーソナリティタイプ,4特性,第一因子,新奇_スコア,外交_スコア,順応_スコア,安定_スコア,分析_スコア,指導_スコア,調和_スコア,ライスケール,新奇_強み判定,外交_強み判定,順応_強み判定,安定_強み判定,分析_強み判定,指導_強み判定,調和_強み判定,対象スコア,集まったNPS,NPS平均,HaKaSe NPS,レビュー数,良かった点の数,コメント数,コミュニケーション,主体的な行動,目標達成意識,人脈づくり,周囲へのサポート,自信,情報収集力,継続力,論理的思考,リーダーシップ,創造性,冷静な対応,顧客志向,進行管理,本質を理解する力,コメント
459,2022/07/04,4600938,2021/04/01,Septeni Japan株式会社,ｱﾄﾞﾏﾈｼﾞﾒﾝﾄ本部ｸｵﾘﾃｨﾏﾈｼﾞﾒﾝﾄ部ｵﾝﾗｲﾝｾｰﾙｽ課_ｱｶｳﾝﾄﾃﾞｨﾚｸｼｮﾝ部ﾒﾃﾞｨｱｿﾘｭｰｼｮﾝ課,仲間想いの戦略家,戦略型,分析,22,18,22,15,28,5,27,6,0,0,0,0,1,0,1,8.21997,[ 8  8 10  8  8  9],8.5,8.21997,6,39,6,43%,14%,14%,14%,14%,29%,43%,29%,57%,14%,0%,86%,86%,86%,29%,"・2年目になり業務遂行能力が上がっているのはもちろん BNやCNへのサポートやコミュニケーションも図ってくれ頼もしい存在になりつつあります。 今後ますますOS課の欠かせない存在になっていく事は見えているので、これからも期待してます。
・2年目としての2ヶ月間お疲れ様でした！癖のあるお客さんにも愚直に、冷静に向き合っている姿はさすがだなぁと思います。みっきーだから、回せてると言っても過言じゃない！引き続きグリップできるように一緒にがんばろうね！
・2年目になって主体的な行動が増えてきたかつ、BN/CNからも尊敬される良い先輩になってきてるなと思います！ （背中が大きく見えるぞ！） 4Q以降もこのままくりGで頼みます！
・関わりはありませんが、ロープレ大会での立ち回りを見るに非常に優秀なんだな。と感じます。
・最近の土井くん、1年目の頃と比べて磨きかかりすぎじゃない？貫禄！！！
・土井ちゃん中村さんと仲良くね！"
459,2022/07/04,4600929,2021/04/01,Septeni Japan株式会社,ｸﾘｴｲﾃｨﾌﾞ本部第二ﾃﾞｨﾚｸｼｮﾝ部二課,策士のリーダー,戦略型,分析,22,23,16,14,25,12,23,1,0,1,0,0,1,0,1,8.21045,[8 9 8 9 8],8.4,8.21045,5,35,2,57%,57%,57%,14%,29%,29%,43%,0%,14%,0%,29%,29%,57%,43%,29%,"・もう既にエースだよ君は… 去年から既にできるやつだったけど更に拍車がかかってて、 提案もレビューも当たり前みたいになってるの本当にすごいわ。 これからも期待してます！！！
・めちゃコミックを基軸に、他案件にも横展開できるような取り組みをしているのがすごい。引き続き縦型UGC風クリエイティブを一緒に開拓していきたいです。"
94,2022/07/04,4601009,2022/04/01,Septeni Japan株式会社,ﾊﾟﾌｫｰﾏﾝｽｸﾞﾛｰｽ本部第四部二課,フィクサータイプ,冒険型,新奇,27,20,10,14,21,16,19,8,1,0,0,0,0,0,0,8.2007,[ 8  6  7 10 10  8  7 10 10  8 10 10  9],8.692,8.2007,13,113,8,64%,93%,57%,14%,43%,64%,86%,21%,57%,50%,43%,43%,36%,71%,64%,"・さすが理系、という発想力で物事を解決していく力に長けていると感じています。 効率管理やフロー構築に関しての対応力が高いだけに、お客さんからの急な依頼対応でのストレス負荷が心配なので、うまくリフレッシュしてくれるといいかなと思います。引き続きがんばってほしいです！次期エースです！
・優秀で、自走のレベルが高く、とても頼りになります！案件内の様々な問題に対して仕組みの面から解決していく姿勢が素晴らしいです。環境整備、ありがとう！気遣い力もあるし、CRの創造力も高いことに気付きました...すごいね！gen-tenだけでなくセプサミ出場も期待してます！bb
・定例会での新規施策や媒体追加提案の際、なんとなくではなく過去数値実績を踏まえて改善想定を提示したうえでの提案がお見事でした！BN3ヶ月目でありながら安心して任せることができとても心強いです！
・もう何人もの人に言われたと思うけど、BNとは思えない動き振りで感動しましたｗレスも早いし、的確な返答がもらえるのでとても進行しやすかったです！
・マガポケでもdmenuニュースでもいつもありがとう！ もうSlack名のBN取っちゃっていいと思うw 引き続き無双していってください！
・・優秀なNAがいる。という噂を聞いてはいた。 ・gen-tenの登壇、Notionのアウトプットなど積極性を感ぜざるを得ない。
・BNとは思えない活躍ぶりに、毎日感心しています！ さらに顧客志向、経営思考のもと、活躍してくれることを期待しています！
・研究熱心な姿や自分の得意を活かすのが非常に上手！頼もしい！"
459,2022/07/04,4600932,2021/04/01,Septeni Japan株式会社,ｱﾄﾞﾏﾈｼﾞﾒﾝﾄ本部第二ﾊﾟﾌｫｰﾏﾝｽﾏﾈｼﾞﾒﾝﾄ部二課,理論の守護者,計画型,指導,11,16,13,17,21,21,16,5,0,0,0,0,1,1,0,8.16079,[ 9 10  7 10  7  8 10 10  7],8.667,8.16079,9,50,6,60%,70%,30%,20%,10%,60%,20%,0%,40%,60%,0%,40%,10%,30%,40%,"・半年前に大きなミッションの変更があったにも関わらず、そこからしっかりと新しいミッションに向き合って、自分の武器を拡張しているのが頼もしいです。各プロジェクトでリーダークラスの動きをできていて、安心して任せられるコンサルタントになったなと思います。コンサル賞行っちゃってください！
・大我いつもありがとうー！！！ ゼブでもMeeでもお世話になりました！  対応早いしミスもないし、ほんとにまだ入って1年か？って感じです！！！ いつもありがとうね！これからもFB爆伸ばしできるクリエイティブ作ります！！！
・立場としてはPMであるものの、会社・業界全体を捉えた俯瞰的な目線で業務を実行している印象。 主体性・積極性に優れコンサルタントの枠を超えた働きをしていると思う。
・ミーティングでは積極的に発言してくださり、意見をくれる。 数値の変動に対して、しっかりしたロジックで納得感のある返しをしてくださっている。
・はじめて一緒に案件やったけどやりやすいわw予算少なくてごめんな
・頑張れ！"
459,2022/07/04,1000245,2021/04/01,株式会社セプテーニ・ホールディングス,人事部/採用企画部,仲間と歩む探求者,冒険型,調和,20,14,19,12,14,10,22,5,1,0,1,0,0,0,1,8.13974,[ 8  9  8 10  7  8  9],8.429,8.13974,7,56,4,88%,62%,62%,38%,88%,12%,62%,50%,38%,0%,0%,38%,38%,62%,50%,"・平井さんの強みは、周囲のサポートを引き出すコミュニケーション能力なのでは、と思います。まだ二年目だし、周りの人に頼ることで人脈が広がって、自分としても成果出るし、頼られた側も一緒に喜んでくれるという良いサイクルが回っている気がします。その調子で頑張ってどんどん成長してほしいです！
・獲得を開始してからの佑衣ちゃんの活躍ぶりは目を見張るものがあったね！そして、それは全てコミュニケーション設計がちゃんとできているということに集約されると思います。最初は不安も大きかったかもしれないけど、獲得ができたらどんな仕事でもできるよ！頑張ってね！
・採用シーズンの活躍は目を見張るものがありました。目標達成への意欲、チームへの貢献意欲、自律的な行動など、この数カ月で元々の能力がよく発揮されるとともに自信がついた印象です。一緒のチームで働けたことに感謝し、これからの活躍に大いに期待しています。
・採用で大活躍ですね、採用初年度ながらあの成績は凄いと思います。人事もできて採用もできてと言う人はあまりいないと思うので、今後も佑依ちゃんのバリューを高めて佑依ちゃんにしかできない業務を切り開いていってもらえればと思います。期待しています。"
459,2022/07/04,4600930,2021/04/01,Septeni Japan株式会社,ｸﾘｴｲﾃｨﾌﾞ本部第一ﾃﾞｨﾚｸｼｮﾝ部一課,チームの名サポーター,協調型,順応,21,14,21,18,20,11,21,4,1,0,1,0,0,0,1,8.08974,[ 9 10  7  8  8],8.4,8.08974,5,30,3,67%,50%,33%,0%,50%,0%,17%,17%,33%,17%,17%,67%,33%,50%,33%,"・ひとみんはやっぱり2年目とは思えない主体性や思考力であったり、安心して業務を任せられる数少ない存在だなと思います。一人で抱え込んでしまうところはあるので、上手く発散しつつ行動してもらえればバランスよく働ける気がします！
・2年目だったんだw 非常に優秀で、顧客もしっかりグリップしており スキルの高さを感じています。いつも確実に、丁寧に仕事しており頼もしい、今後の活躍に期待！
・自分の仕事の領域を超えて動けるのがすごいなと感じました！ もっともっと自分のやっていることを周りにアピールしていいと思います＾＾"
169,2022/07/05,4600988,2022/01/17,Septeni Japan株式会社,Eｺﾏｰｽ対策本部ｺﾝｻﾙﾃｨﾝｸﾞ部ｺﾝｻﾙﾃｨﾝｸﾞ課,チームワークの達人,冒険型,調和,19,21,16,11,18,5,29,7,0,0,0,0,0,0,1,8.05758,[8 8 8 8 9 8],8.167,8.05758,6,23,2,83%,17%,17%,17%,50%,0%,33%,0%,17%,0%,0%,50%,33%,33%,33%,"・持ち前のコミュニケーション能力ですぐ本部になじみ、仕事を楽しそうに活き活き実施している印象。 今後はそれを武器に、更なる顧客グリップや社内プロジェクト推進を期待している。
・転売屋業務に関しての質問もわかりやすく具体的に返してくれました！"
94,2022/07/04,4601015,2022/04/01,Septeni Japan株式会社,ﾋﾞｼﾞﾈｽﾌﾟﾛﾃﾞｭｰｽ本部ﾋﾞｼﾞﾈｽﾌﾟﾛﾃﾞｭｰｽ推進部一課,孤高のストライカー,冒険型,順応,18,16,20,13,18,20,18,1,0,0,1,0,0,1,0,8.03097,[ 9  8 10  8  8  8  8  7  8],8.222,8.03097,9,39,9,50%,80%,10%,10%,20%,0%,60%,20%,20%,0%,40%,20%,10%,10%,30%,"・気になった事とかを細めに聞いてくれて、次にちゃんと反映してくるのがとても良いです！ あとは、自分で積極的にチャレンジする姿勢だったり、個人的には創造力の幅広さはいつも助かってます。 資料はまだまだだけど、日々よくなってるので今後そこに期待です！
・本部のBNCN賞もおめでとう！小沼ともうまくチームワーク発揮してくれていそうで、よかったです。 引き続きどんどん積極的に仕事に手を挙げて行ってもらって、浅見ちゃん主体の提案ができるようになってください！期待してます。
・既に頭角を現してくれている期待のBNの一人。 インプット(思考構築)〜アウトプット（資料作成）まで高いレベルでこなしており、今後のさらなる成長が楽しみ。分析力の高さに磨きをかけ、組織のキーバーソンになって欲しい
・自分でわからないことを知らべてアプトプットしている点は良かった。 顧客にも提案機会をもらうなど自主的な行動を取れている。 今後は更に知識をインプットして精度の高いアウトプットをしてほしい。
・一度教えた事を自分の中で咀嚼し理解を深めてくれる点がとても良いと感じました！ そして自ら主体的な動きをしてくれているように感じます！
・ののちゃん小沼から求められることは高いけど、すごく頑張っていると思います！引き続き関わることあればよろしくねえ
・市場調査の内容から、コンペに対する姿勢がとても良かった。今後も戦略担当としての活躍を期待している。
・積極性が素晴らしいです！ 目標達成のための努力も惜しまず、継続して行動しています
・短納期な中、企画案をたくさん考えてきてくれてとても助かりました！"
459,2022/07/04,4600924,2021/04/01,Septeni Japan株式会社,ｱﾄﾞﾏﾈｼﾞﾒﾝﾄ本部第二ﾊﾟﾌｫｰﾏﾝｽﾏﾈｼﾞﾒﾝﾄ部一課,チームの名サポーター,協調型,順応,20,10,26,12,16,4,23,3,0,0,1,0,0,0,1,8.00584,[ 9  9  9  5  8  8  8  8  8 10  9  8  8  9  9  7],8.25,8.00584,16,73,9,81%,56%,31%,6%,25%,6%,31%,19%,44%,0%,12%,56%,6%,38%,44%,"・ベースとして仕事ができる。かつ検証等にも興味・意欲を持って取り組んでおりPMとして理想的。媒体の仕組みを高いレベルで理解した上で、「何を検証すべきか」→「どう検証すべきか」→「結果をどのように捉えるか」→「結果を解釈した上で次は何を検証すべきか」というPDCAを適切に回している。
・瞳子ちゃんいつもありがとう！！！ ゼブでの連携本当に助かってます！＞＜  安定感しかなくて、TwitterとTikの運用担当は全部瞳子ちゃんがいいなといつも思います。笑 瞳子ちゃんの粗利をバチ増やせるクリエイティブいっぱい作るね！！！！ これからもよろしく～！
・納品数が増えても、各案件で丁寧にコミュニケーションを取れている印象です。 媒体知識を生かしたアウトプットの流れも既に自分の中であると思うので、繰り返すことでより高いクオリティを目指せると、社を牽引する納品者になれると思います
・向上心を持ってアウトプットに取り組んでくれているように感じます。またその量と質に関しても、レベルが上がってきているなと思います。引き続き運用の探求によって周囲に良い影響を与えてくれることを期待してます。
・積極的に何事も自分の成長につながると思って引き続き頑張ってください！ いろんな人の考えに触れることでより一層成長にドライブがかかると思ったので実践してみてください。
・仕事は優秀だと思います。仕事は。いりくちの事を頼って色んな人が今後関わってくれると思うのでできることを増やせるようにセプテーニをうまく使ってください～！
・数値の改善に真摯に向き合ってくれている。 質問に対しての打ち返しがとても丁寧でわかりやすい。 返信も早く、助かっています。
・案件で関わりがありました。 当時BNながら非常に安定感のある納品でいつも頼りにさせていただきました。
・みんなの日報レスしてくれてありがとうございます。"
94,2022/07/04,4601068,2022/04/01,Septeni Japan株式会社,ｸﾘｴｲﾃｨﾌﾞ本部ﾊﾟﾌｫｰﾏﾝｽｸﾘｴｲﾃｨﾌﾞ部ｿﾘｭｰｼｮﾝ課,メンテナンスの達人,協調型,安定,15,7,20,20,12,10,17,5,0,0,1,1,0,0,0,7.98085,[9 8 8 7 9],8.2,7.98085,5,19,4,33%,83%,0%,0%,0%,0%,33%,50%,17%,0%,0%,17%,0%,33%,33%,"・入社後いきなりLP領域の配属で、かなりの専門領域、覚えることが多い中 臆せず食らいつき、日々の業務主体的に向き合ってくれててめっちゃ頼もしいです。 即レスかつ相手を思いやったコミュニケーションは間違いなくかんなちゃんの武器になってくるので続けて下さい。これからもよろしく！
・お願いされた仕事だけでなく、継続的なLP分析や自領域の少し深ぼった学習など、自主的に「自分がやった方がいいこと」を探してやってくれている姿勢が素晴らしいなと思ってます！アウトプットも頑張ってくれてるので、今後もたくさん発信してもらえればと！
・課題認識した事を、行動に移せる点が素晴らしい
・LP分析の質がめちゃくちゃ高い！"
